# BUSCO version is: 5.8.2 
# The lineage dataset is: diptera_odb12 (Creation date: 2025-04-11, number of genomes: 76, number of BUSCOs: 5067)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length
61562at7147	Complete	OZ038372.1	63047531	63032941	-	1640.6	992
61602at7147	Complete	OZ038373.1	7156974	7157482	+	258.9	150
61663at7147	Complete	OZ038373.1	113802343	113819519	+	645.4	326
61683at7147	Complete	OZ038375.1	5337079	5336564	-	277.3	143
61699at7147	Complete	OZ038373.1	124024689	124024397	-	175.9	81
61709at7147	Complete	OZ038373.1	12494609	12507851	+	732.2	361
61710at7147	Complete	OZ038371.1	214719390	214748057	+	1634.8	789
61713at7147	Complete	OZ038371.1	116257879	116290188	+	1202.2	639
61746at7147	Complete	OZ038371.1	13595026	13615168	+	980.6	495
61750at7147	Complete	OZ038371.1	67545971	67574836	+	1031.4	582
61769at7147	Complete	OZ038372.1	19479770	19477815	-	1060.4	579
61774at7147	Complete	OZ038374.1	430007	426534	-	623.5	461
61788at7147	Complete	OZ038373.1	59170487	59171654	+	548.7	346
61797at7147	Complete	OZ038371.1	204017948	204011530	-	419.5	282
61808at7147	Complete	OZ038372.1	43183597	43190812	+	770.6	420
61815at7147	Complete	OZ038371.1	134311864	134275579	-	5346.9	2548
61817at7147	Complete	OZ038372.1	160806867	160808577	+	951.8	501
61842at7147	Complete	OZ038371.1	136551101	136517126	-	628.8	344
61844at7147	Complete	OZ038372.1	122050888	122049884	-	470.3	305
61869at7147	Complete	OZ038375.1	26447677	26440587	-	880.0	410
61874at7147	Complete	OZ038373.1	121480857	121342923	-	364.6	173
61879at7147	Complete	OZ038371.1	108569073	108566796	-	696.9	440
61890at7147	Complete	OZ038374.1	84768726	84778252	+	871.7	420
61894at7147	Complete	OZ038371.1	40665971	40664778	-	550.4	327
61922at7147	Complete	OZ038372.1	8699180	8694046	-	703.7	412
61928at7147	Complete	OZ038371.1	153609733	153605283	-	772.8	413
61938at7147	Complete	OZ038374.1	36928948	36929706	+	416.0	253
61941at7147	Fragmented	OZ038371.1	218457762	218465818	+	418.1	337
61966at7147	Complete	OZ038375.1	46114671	46096740	-	397.1	213
61968at7147	Complete	OZ038372.1	51094051	51068523	-	2185.6	1350
61986at7147	Complete	OZ038371.1	158021086	158025544	+	709.3	324
61992at7147	Complete	OZ038375.1	17810466	17798275	-	692.8	348
61993at7147	Complete	OZ038375.1	99198939	99251690	+	421.8	251
61998at7147	Complete	OZ038376.1	19318566	19294511	-	1137.6	487
62045at7147	Complete	OZ038371.1	23149274	23138400	-	1702.8	932
62048at7147	Complete	OZ038375.1	91462477	91463529	+	333.3	152
62055at7147	Complete	OZ038373.1	88657112	88671801	+	1610.3	847
62066at7147	Complete	OZ038371.1	119151856	119152242	+	192.1	124
62100at7147	Complete	OZ038374.1	16646813	16649259	+	1154.8	626
62107at7147	Complete	OZ038371.1	168182811	168181393	-	821.6	423
62123at7147	Complete	OZ038373.1	75905952	75895246	-	654.4	320
62130at7147	Complete	OZ038372.1	134542437	134543111	+	410.9	223
62144at7147	Complete	OZ038371.1	186481550	186482347	+	385.2	221
62147at7147	Complete	OZ038373.1	118629279	118629934	+	395.0	183
62185at7147	Complete	OZ038376.1	2656609	2549352	-	626.1	324
62191at7147	Complete	OZ038373.1	66663071	66661602	-	787.7	488
62197at7147	Complete	OZ038371.1	134436989	134438252	+	419.3	206
62204at7147	Fragmented	OZ038375.1	90799223	90798418	-	187.9	183
62213at7147	Complete	OZ038372.1	160852037	160836375	-	1162.8	754
62270at7147	Complete	OZ038374.1	4232564	4240618	+	794.6	423
62282at7147	Complete	OZ038371.1	23608013	23608811	+	212.2	212
62295at7147	Complete	OZ038372.1	41000252	41000677	+	196.7	98
62339at7147	Complete	OZ038374.1	6881123	6881596	+	249.8	152
62349at7147	Complete	OZ038372.1	15919437	15920918	+	961.0	499
62350at7147	Complete	OZ038372.1	60477886	60501185	+	1692.4	790
62366at7147	Complete	OZ038375.1	11619689	11608673	-	1263.7	865
62372at7147	Complete	OZ038375.1	31161771	31163878	+	423.2	475
62407at7147	Complete	OZ038375.1	70738841	70937886	+	587.6	312
62417at7147	Complete	OZ038372.1	112329823	112329280	-	154.6	119
62423at7147	Complete	OZ038373.1	72757137	72745624	-	612.0	305
62443at7147	Complete	OZ038371.1	173221291	173198408	-	1040.0	511
62451at7147	Complete	OZ038371.1	191442464	191443732	+	851.2	412
62482at7147	Complete	OZ038373.1	5178434	5179164	+	335.2	205
62502at7147	Complete	OZ038372.1	59570089	59569687	-	198.8	94
62503at7147	Complete	OZ038372.1	128897287	128900889	+	2043.6	1054
62529at7147	Complete	OZ038372.1	123602092	123602610	+	272.5	136
62557at7147	Complete	OZ038374.1	94161981	94203005	+	2206.5	1235
62560at7147	Complete	OZ038371.1	126612563	126656625	+	1536.1	762
62613at7147	Complete	OZ038374.1	67051090	67086021	+	1338.7	727
62631at7147	Complete	OZ038372.1	139970226	139963689	-	559.2	393
62639at7147	Complete	OZ038375.1	89746091	89749507	+	956.3	535
62656at7147	Complete	OZ038375.1	4468832	4469545	+	309.5	191
62660at7147	Complete	OZ038375.1	112222956	112236183	+	1699.3	870
62676at7147	Complete	OZ038373.1	1054027	1055091	+	568.4	294
62681at7147	Complete	OZ038371.1	131310569	131295217	-	1039.8	753
62682at7147	Duplicated	OZ038372.1	60292795	60302393	+	835.2	470
62682at7147	Duplicated	OZ038371.1	79884642	79886102	+	822.7	470
62696at7147	Complete	OZ038373.1	1332300	1330969	-	375.8	314
62725at7147	Complete	OZ038373.1	2895131	2903618	+	2548.9	1411
62727at7147	Complete	OZ038375.1	101736417	101694859	-	951.6	623
62737at7147	Complete	OZ038373.1	1897594	1902139	+	296.9	194
62751at7147	Complete	OZ038373.1	12515503	12546598	+	1365.9	743
62767at7147	Complete	OZ038372.1	111237164	111272864	+	586.2	416
62792at7147	Complete	OZ038372.1	21270600	21248162	-	403.3	202
62799at7147	Complete	OZ038375.1	116809846	116813576	+	1270.7	714
62818at7147	Complete	OZ038372.1	31717113	31801990	+	1168.4	559
62838at7147	Complete	OZ038373.1	74833830	74830630	-	340.4	206
62860at7147	Complete	OZ038371.1	200412209	200412836	+	331.5	187
62879at7147	Complete	OZ038374.1	23969847	23971844	+	1435.1	663
62907at7147	Complete	OZ038374.1	11850075	11840510	-	1962.3	874
62910at7147	Complete	OZ038376.1	22919718	22916282	-	1338.9	696
62912at7147	Complete	OZ038371.1	206987710	206995880	+	554.1	277
62916at7147	Complete	OZ038371.1	17709524	17715040	+	1136.0	635
62957at7147	Complete	OZ038371.1	86185874	86187867	+	604.2	341
62969at7147	Complete	OZ038372.1	34924657	34940220	+	1220.1	675
62991at7147	Complete	OZ038372.1	128629312	128630691	+	816.1	365
63007at7147	Complete	OZ038375.1	11597909	11604291	+	843.7	529
63014at7147	Complete	OZ038371.1	155830951	155829497	-	801.6	409
63017at7147	Complete	OZ038374.1	8657545	8654001	-	890.1	797
63030at7147	Complete	OZ038371.1	207010766	207009489	-	527.0	317
63036at7147	Complete	OZ038371.1	155025731	155010665	-	1478.7	1036
63074at7147	Complete	OZ038373.1	14515469	14516517	+	446.0	215
63096at7147	Complete	OZ038371.1	226056254	226050165	-	826.6	401
63127at7147	Complete	OZ038375.1	26155801	26149811	-	919.9	533
63137at7147	Complete	OZ038375.1	113562392	113553703	-	3508.6	1702
63138at7147	Complete	OZ038371.1	208724706	208736035	+	888.8	480
63142at7147	Complete	OZ038371.1	187883565	187889788	+	485.0	276
63148at7147	Complete	OZ038375.1	113981699	114003481	+	561.5	457
63177at7147	Complete	OZ038371.1	153570877	153559994	-	996.4	610
63187at7147	Complete	OZ038374.1	20944004	20977658	+	378.0	205
63203at7147	Complete	OZ038375.1	116342123	116335315	-	1117.7	761
63210at7147	Complete	OZ038375.1	111133814	111134525	+	291.8	166
63215at7147	Complete	OZ038375.1	16480812	16475821	-	548.6	369
63216at7147	Complete	OZ038373.1	87753835	87749393	-	277.1	129
63229at7147	Complete	OZ038372.1	110443379	110452937	+	1068.4	622
63235at7147	Complete	OZ038372.1	151165759	151173746	+	588.9	317
63274at7147	Complete	OZ038373.1	132903958	132792389	-	668.7	313
63282at7147	Complete	OZ038375.1	115675737	115670306	-	606.6	299
63287at7147	Complete	OZ038372.1	127745097	127737090	-	1339.5	692
63303at7147	Complete	OZ038372.1	1607467	1608992	+	427.1	229
63321at7147	Complete	OZ038373.1	133139647	133134760	-	911.7	570
63323at7147	Complete	OZ038372.1	139727898	139728476	+	271.3	173
63332at7147	Complete	OZ038376.1	14604780	14600350	-	1191.2	569
63341at7147	Complete	OZ038371.1	2633815	2737575	+	321.2	151
63354at7147	Complete	OZ038371.1	12915646	12914709	-	299.0	248
63370at7147	Complete	OZ038373.1	102228574	102288519	+	1032.3	733
63383at7147	Complete	OZ038375.1	11704868	11714086	+	2213.2	1167
63388at7147	Complete	OZ038371.1	10394767	10388309	-	875.9	483
63447at7147	Complete	OZ038371.1	198486570	198468118	-	592.6	304
63462at7147	Complete	OZ038373.1	70401837	70402683	+	429.3	218
63476at7147	Complete	OZ038374.1	32159487	32131472	-	2035.6	1291
63492at7147	Complete	OZ038371.1	188620450	188612840	-	690.5	348
63508at7147	Complete	OZ038372.1	118159317	118136813	-	760.8	565
63515at7147	Complete	OZ038372.1	17804599	17803843	-	338.9	174
63517at7147	Complete	OZ038375.1	19561051	19550712	-	1587.5	774
63536at7147	Complete	OZ038375.1	13207409	13317539	+	293.9	162
63539at7147	Complete	OZ038371.1	207008560	207009343	+	386.2	233
63540at7147	Complete	OZ038374.1	6405989	6402349	-	449.6	211
63541at7147	Complete	OZ038372.1	16457716	16456424	-	510.7	376
63569at7147	Complete	OZ038375.1	97408259	97371388	-	1736.1	1158
63580at7147	Complete	OZ038375.1	41758583	41757831	-	368.4	237
63582at7147	Complete	OZ038374.1	138418946	138425956	+	794.8	531
63583at7147	Complete	OZ038372.1	1127134	1125498	-	539.6	378
63585at7147	Missing
63597at7147	Complete	OZ038374.1	37942320	37996390	+	483.4	251
63604at7147	Complete	OZ038371.1	34139488	34152038	+	1079.4	570
63607at7147	Complete	OZ038374.1	3998889	3986665	-	618.8	556
63633at7147	Complete	OZ038375.1	102674861	102676213	+	622.4	295
63635at7147	Complete	OZ038372.1	28961742	28972385	+	605.2	312
63639at7147	Complete	OZ038371.1	133806402	133739365	-	1387.5	762
63650at7147	Complete	OZ038375.1	104994772	104967640	-	1246.1	684
63652at7147	Complete	OZ038372.1	161685525	161687078	+	969.8	489
63658at7147	Complete	OZ038373.1	121921874	121927506	+	1426.3	705
63670at7147	Complete	OZ038371.1	205238882	205215922	-	1215.3	768
63672at7147	Complete	OZ038374.1	89654177	89664962	+	323.6	200
63673at7147	Complete	OZ038371.1	210557180	210550058	-	1175.9	748
63677at7147	Complete	OZ038373.1	139112191	139113105	+	441.6	239
63691at7147	Complete	OZ038372.1	155206907	155195256	-	1487.7	706
63704at7147	Complete	OZ038373.1	72985832	73006223	+	957.2	511
63716at7147	Complete	OZ038375.1	14405008	14431314	+	1040.5	540
63722at7147	Complete	OZ038373.1	107801240	107800211	-	452.0	308
63723at7147	Complete	OZ038373.1	69226012	69227521	+	262.5	151
63727at7147	Complete	OZ038371.1	150896849	150897811	+	269.9	216
63748at7147	Complete	OZ038372.1	20449832	20455401	+	474.1	284
63777at7147	Complete	OZ038374.1	103867369	103893241	+	513.4	279
63804at7147	Complete	OZ038374.1	51654746	51564383	-	451.8	215
63806at7147	Complete	OZ038375.1	102748792	102746667	-	989.5	605
63808at7147	Complete	OZ038371.1	978689	977903	-	376.2	209
63826at7147	Complete	OZ038372.1	36636697	36632864	-	185.7	90
63829at7147	Complete	OZ038371.1	3903620	3896436	-	757.7	602
63836at7147	Complete	OZ038373.1	105414075	105396913	-	1099.5	618
63838at7147	Complete	OZ038372.1	24564336	24569993	+	1374.9	874
63890at7147	Complete	OZ038373.1	69930263	69928632	-	898.8	492
63892at7147	Complete	OZ038375.1	4333730	4327368	-	1313.2	678
63904at7147	Missing
63905at7147	Complete	OZ038375.1	96884946	96892707	+	1360.0	776
63921at7147	Complete	OZ038373.1	98755648	98751085	-	261.6	181
63923at7147	Complete	OZ038372.1	138224536	138224232	-	133.9	80
63928at7147	Complete	OZ038373.1	4860812	4858815	-	1351.0	645
63940at7147	Complete	OZ038372.1	23741869	23759104	+	1426.4	923
63942at7147	Complete	OZ038371.1	1004759	1010311	+	2858.4	1522
63959at7147	Complete	OZ038371.1	58172512	58152272	-	1802.8	921
64014at7147	Complete	OZ038373.1	27788398	27883414	+	1021.2	467
64036at7147	Complete	OZ038371.1	77324221	77179750	-	1150.3	744
64043at7147	Complete	OZ038373.1	77840478	77840047	-	223.3	122
64050at7147	Complete	OZ038371.1	173637863	173652148	+	2741.3	1327
64084at7147	Complete	OZ038374.1	11852135	11857011	+	559.4	360
64129at7147	Fragmented	OZ038373.1	133700286	133707602	+	370.5	219
64130at7147	Complete	OZ038371.1	205790169	205798992	+	1373.7	720
64158at7147	Complete	OZ038371.1	225874468	225880741	+	1117.2	671
64161at7147	Complete	OZ038371.1	29987990	29979404	-	397.3	217
64167at7147	Complete	OZ038371.1	164877014	164888440	+	502.5	359
64173at7147	Complete	OZ038375.1	114534654	114535589	+	431.2	232
64183at7147	Complete	OZ038371.1	164959917	164972019	+	1388.0	782
64192at7147	Complete	OZ038372.1	52648188	52729829	+	608.6	308
64195at7147	Complete	OZ038374.1	92526104	92468098	-	2086.2	975
64216at7147	Complete	OZ038373.1	113927514	113928750	+	715.2	342
64272at7147	Complete	OZ038374.1	21774	18681	-	930.6	477
64274at7147	Complete	OZ038374.1	138037379	138026253	-	1308.5	702
64278at7147	Complete	OZ038374.1	5011958	5010406	-	726.7	402
64323at7147	Complete	OZ038373.1	138800224	138767302	-	4612.5	3279
64333at7147	Complete	OZ038374.1	142829729	142830413	+	339.1	205
64346at7147	Complete	OZ038371.1	22862219	22862628	+	240.0	118
64351at7147	Complete	OZ038371.1	135173842	135174286	+	208.5	108
64374at7147	Complete	OZ038371.1	5557452	5544740	-	4086.2	2004
64379at7147	Complete	OZ038373.1	121002906	120992212	-	405.7	271
64380at7147	Complete	OZ038371.1	17772654	17774434	+	594.6	455
64411at7147	Complete	OZ038374.1	138402532	138412431	+	1969.1	911
64413at7147	Complete	OZ038371.1	230384772	230402188	+	1094.6	498
64440at7147	Complete	OZ038371.1	8268689	8270740	+	572.1	416
64472at7147	Complete	OZ038376.1	14004950	14029779	+	686.4	394
64480at7147	Complete	OZ038371.1	205083026	205081818	-	462.4	272
64503at7147	Complete	OZ038373.1	3610983	3601920	-	2068.5	977
64505at7147	Complete	OZ038375.1	46847652	46831972	-	309.1	264
64516at7147	Complete	OZ038372.1	143907108	143905720	-	836.8	426
64519at7147	Complete	OZ038374.1	80476120	80500366	+	318.9	165
64630at7147	Complete	OZ038372.1	139630430	139670259	+	850.0	412
64636at7147	Complete	OZ038374.1	4318331	4332049	+	2226.8	1122
64639at7147	Complete	OZ038371.1	46946524	46964258	+	1188.7	644
64696at7147	Complete	OZ038371.1	160771418	160781913	+	630.5	380
64707at7147	Complete	OZ038373.1	25931234	25928032	-	772.9	509
64717at7147	Complete	OZ038373.1	61647767	61665746	+	751.6	401
64757at7147	Complete	OZ038374.1	19841740	19774681	-	599.1	307
64809at7147	Complete	OZ038373.1	35401770	35536728	+	634.0	410
64810at7147	Complete	OZ038371.1	153547002	153546038	-	540.6	296
64833at7147	Complete	OZ038375.1	12151167	12144457	-	1107.3	632
64850at7147	Complete	OZ038373.1	142941199	142939900	-	686.8	359
64887at7147	Complete	OZ038371.1	2135531	2136427	+	412.9	240
64935at7147	Complete	OZ038373.1	78914574	78940403	+	2684.2	1525
64947at7147	Complete	OZ038372.1	40540337	40527908	-	555.0	279
64968at7147	Complete	OZ038371.1	229620834	229619139	-	1129.9	538
64974at7147	Complete	OZ038374.1	32493776	32513499	+	2211.1	1026
64993at7147	Complete	OZ038371.1	20060744	20056211	-	291.8	222
65003at7147	Complete	OZ038372.1	125888297	125889600	+	684.8	346
65007at7147	Complete	OZ038375.1	109834964	109830657	-	2520.6	1245
65008at7147	Complete	OZ038373.1	106576645	106576325	-	152.5	105
65012at7147	Complete	OZ038372.1	59514470	59531743	+	784.4	395
65038at7147	Complete	OZ038375.1	9700530	9696503	-	872.2	497
65041at7147	Complete	OZ038371.1	225919575	225914593	-	456.0	244
65054at7147	Complete	OZ038374.1	8981878	8982654	+	387.5	209
65076at7147	Complete	OZ038374.1	85022883	85048921	+	1751.6	1198
65081at7147	Complete	OZ038375.1	111146279	111150418	+	1228.6	847
65131at7147	Complete	OZ038375.1	98917060	98915402	-	774.1	462
65138at7147	Complete	OZ038374.1	100995370	100980823	-	173.1	122
65151at7147	Complete	OZ038373.1	67337058	67341222	+	374.0	191
65157at7147	Complete	OZ038373.1	154294311	154259001	-	1194.0	702
65169at7147	Complete	OZ038371.1	53244504	53245136	+	435.5	207
65184at7147	Complete	OZ038373.1	133265466	133234435	-	5259.4	2613
65194at7147	Complete	OZ038375.1	26664812	26663362	-	706.1	392
65195at7147	Complete	OZ038372.1	149219210	149317099	+	846.6	402
65213at7147	Complete	OZ038374.1	6200140	6195980	-	1138.1	741
65217at7147	Complete	OZ038374.1	129184226	129128283	-	1544.8	858
65232at7147	Complete	OZ038371.1	203136723	203097340	-	1071.2	493
65291at7147	Complete	OZ038373.1	4778975	4771006	-	723.3	378
65323at7147	Complete	OZ038371.1	178250688	178350097	+	516.8	249
65343at7147	Complete	OZ038372.1	20608935	20615478	+	328.5	221
65361at7147	Complete	OZ038374.1	87895422	87787823	-	1471.4	797
65369at7147	Complete	OZ038371.1	54195421	54185260	-	708.5	360
65376at7147	Complete	OZ038371.1	216835797	216834702	-	429.9	246
65377at7147	Complete	OZ038373.1	76334933	76344372	+	445.9	268
65380at7147	Complete	OZ038371.1	67477162	67380055	-	414.8	275
65385at7147	Complete	OZ038371.1	82431284	82432002	+	386.8	221
65399at7147	Complete	OZ038374.1	17300038	17299038	-	462.2	317
65433at7147	Complete	OZ038374.1	129472210	129475659	+	595.9	346
65476at7147	Complete	OZ038373.1	66707579	66696844	-	1070.8	662
65478at7147	Complete	OZ038373.1	140850236	140857447	+	858.8	535
65485at7147	Complete	OZ038371.1	36472223	36457921	-	794.9	609
65490at7147	Complete	OZ038375.1	115765802	115763605	-	748.9	403
65503at7147	Complete	OZ038372.1	113157141	113133500	-	985.3	595
65523at7147	Complete	OZ038374.1	62815294	62735149	-	906.1	453
65536at7147	Complete	OZ038375.1	97456439	97442213	-	586.1	378
65537at7147	Complete	OZ038371.1	200555440	200581677	+	591.9	341
65550at7147	Complete	OZ038373.1	118608251	118620064	+	1249.0	619
65559at7147	Complete	OZ038375.1	26187904	26162069	-	617.2	310
65561at7147	Complete	OZ038375.1	41953681	41956143	+	712.2	528
65571at7147	Duplicated	OZ038373.1	12554988	12554137	-	359.0	255
65571at7147	Duplicated	OZ038372.1	1569020	1568095	-	367.9	247
65599at7147	Complete	OZ038375.1	20692782	20681713	-	1037.9	801
65602at7147	Complete	OZ038374.1	8989695	9011776	+	500.5	264
65643at7147	Missing
65654at7147	Complete	OZ038372.1	152406464	152415855	+	610.1	311
65656at7147	Complete	OZ038375.1	40573	96675	+	1949.6	885
65657at7147	Complete	OZ038372.1	32071385	32071880	+	237.2	125
65687at7147	Complete	OZ038375.1	109333215	109286288	-	2069.4	973
65711at7147	Complete	OZ038372.1	156248550	156279155	+	603.7	333
65727at7147	Complete	OZ038372.1	158820747	158829158	+	705.0	623
65754at7147	Complete	OZ038374.1	116899888	116900280	+	175.2	112
65766at7147	Complete	OZ038373.1	1395148	1394229	-	326.2	173
65784at7147	Complete	OZ038375.1	88497621	88491956	-	710.9	372
65801at7147	Complete	OZ038374.1	60078574	60127745	+	604.6	362
65808at7147	Complete	OZ038372.1	128862140	128857735	-	1234.5	619
65830at7147	Complete	OZ038375.1	99649448	99671270	+	1011.3	591
65834at7147	Missing
65844at7147	Complete	OZ038374.1	28761072	28760377	-	356.9	192
65866at7147	Complete	OZ038372.1	13599919	13618374	+	858.6	444
65892at7147	Complete	OZ038375.1	3178331	3176741	-	668.8	345
65894at7147	Complete	OZ038373.1	87645055	87662208	+	391.9	342
65934at7147	Complete	OZ038372.1	8204040	8210112	+	263.5	146
65939at7147	Complete	OZ038374.1	112018614	112009078	-	1525.8	897
65956at7147	Complete	OZ038372.1	9706874	9694222	-	394.9	204
65972at7147	Complete	OZ038374.1	11350852	11323652	-	8711.4	4766
65973at7147	Complete	OZ038372.1	116556884	116521509	-	1637.7	874
65990at7147	Complete	OZ038373.1	84916935	84982672	+	1318.1	677
65992at7147	Complete	OZ038374.1	145640089	145645528	+	565.7	268
66000at7147	Complete	OZ038371.1	35219072	35244058	+	591.8	425
66007at7147	Complete	OZ038374.1	85877261	85863688	-	612.4	432
66020at7147	Complete	OZ038371.1	49781811	49780692	-	638.3	315
66030at7147	Complete	OZ038373.1	11733890	11723299	-	247.0	167
66044at7147	Complete	OZ038373.1	85133593	85150046	+	682.1	439
66048at7147	Complete	OZ038374.1	112019082	112024271	+	955.9	566
66053at7147	Complete	OZ038371.1	1209309	1206866	-	1000.3	541
66055at7147	Complete	OZ038375.1	89768440	89767612	-	348.6	228
66066at7147	Complete	OZ038375.1	115760051	115761491	+	262.4	163
66069at7147	Complete	OZ038374.1	148619727	148618131	-	625.1	388
66070at7147	Complete	OZ038372.1	189308	186707	-	1283.5	642
66108at7147	Complete	OZ038372.1	111522499	111598500	+	997.4	594
66139at7147	Complete	OZ038372.1	23536956	23520976	-	876.9	656
66177at7147	Complete	OZ038372.1	44762917	44777621	+	564.6	465
66196at7147	Complete	OZ038375.1	94100000	94086991	-	996.1	550
66209at7147	Complete	OZ038372.1	114365323	114354462	-	652.2	488
66213at7147	Complete	OZ038372.1	3987322	3929041	-	1841.8	888
66225at7147	Complete	OZ038372.1	117981558	117983492	+	910.7	567
66228at7147	Complete	OZ038374.1	73377035	73378876	+	770.9	480
66230at7147	Complete	OZ038372.1	151321360	151315816	-	759.1	522
66243at7147	Complete	OZ038375.1	25742066	25755971	+	680.2	367
66247at7147	Complete	OZ038372.1	29613718	29614518	+	482.5	260
66302at7147	Complete	OZ038373.1	9229450	9228746	-	231.2	153
66326at7147	Complete	OZ038372.1	137823778	137812202	-	396.4	189
66330at7147	Complete	OZ038372.1	147098530	147099824	+	532.5	301
66341at7147	Complete	OZ038372.1	85468254	85577389	+	576.2	284
66348at7147	Complete	OZ038371.1	92650389	92650836	+	169.1	109
66349at7147	Complete	OZ038371.1	205457104	205479892	+	392.9	271
66352at7147	Complete	OZ038372.1	10755627	10750147	-	1091.1	608
66361at7147	Complete	OZ038371.1	165060060	165060844	+	416.1	198
66364at7147	Complete	OZ038374.1	71674834	71595490	-	1038.9	584
66373at7147	Complete	OZ038375.1	5659215	5660301	+	487.2	295
66402at7147	Duplicated	OZ038373.1	1333763	1334941	+	624.8	301
66402at7147	Duplicated	OZ038371.1	163935377	163936258	+	618.3	287
66414at7147	Complete	OZ038371.1	142189355	142178514	-	1534.4	761
66457at7147	Complete	OZ038371.1	187407028	187416803	+	1391.7	943
66475at7147	Complete	OZ038371.1	19948176	19947241	-	592.2	308
66491at7147	Duplicated	CAXIWC010000109.1	43650	44928	+	532.5	291
66491at7147	Duplicated	OZ038373.1	9430	10708	+	532.5	291
66510at7147	Complete	OZ038375.1	23702051	23703442	+	748.9	441
66514at7147	Complete	OZ038371.1	209329745	209340639	+	427.7	235
66515at7147	Complete	OZ038373.1	109171612	109164543	-	846.5	391
66519at7147	Complete	OZ038373.1	29957653	29772385	-	712.5	453
66523at7147	Complete	OZ038373.1	189282	183996	-	1089.9	762
66525at7147	Complete	OZ038372.1	37339239	37327180	-	1363.3	1017
66538at7147	Complete	OZ038374.1	148076644	148081202	+	612.7	398
66557at7147	Complete	OZ038372.1	1609939	1611120	+	580.7	348
66567at7147	Complete	OZ038371.1	164045124	164037971	-	1143.2	707
66590at7147	Complete	OZ038376.1	13103853	13105455	+	681.2	414
66606at7147	Complete	OZ038374.1	17073302	17075666	+	1042.0	607
66607at7147	Complete	OZ038372.1	118199274	118175641	-	2244.7	1198
66610at7147	Complete	OZ038372.1	44392054	44405233	+	574.9	333
66632at7147	Complete	OZ038372.1	44355112	44369530	+	732.4	451
66633at7147	Complete	OZ038375.1	20741005	20740278	-	348.5	221
66640at7147	Complete	OZ038372.1	137755607	137787287	+	529.9	374
66649at7147	Complete	OZ038371.1	40871565	40781006	-	1544.9	1120
66702at7147	Complete	OZ038371.1	203026385	203035926	+	486.0	292
66704at7147	Complete	OZ038372.1	23510065	23511023	+	597.4	300
66707at7147	Complete	OZ038372.1	10238075	10247006	+	934.5	599
66719at7147	Fragmented	OZ038373.1	154227431	154223294	-	1187.1	603
66722at7147	Complete	OZ038373.1	144091249	144095827	+	589.8	337
66740at7147	Complete	OZ038372.1	62887495	62875108	-	581.9	343
66744at7147	Complete	OZ038373.1	132219922	132220281	+	166.8	95
66757at7147	Complete	OZ038374.1	129672030	129647763	-	1188.3	657
66761at7147	Complete	OZ038372.1	53656968	53699847	+	399.6	237
66787at7147	Complete	OZ038372.1	23733646	23724841	-	1380.0	715
66795at7147	Complete	OZ038372.1	42375316	42390106	+	685.5	386
66810at7147	Complete	OZ038372.1	10918327	10922272	+	701.8	322
66846at7147	Complete	OZ038375.1	41718715	41706042	-	556.4	364
66848at7147	Complete	OZ038375.1	39602865	39590746	-	1214.6	638
66869at7147	Complete	OZ038374.1	50389641	50285112	-	383.8	276
66893at7147	Complete	OZ038371.1	31047627	31048859	+	745.4	402
66927at7147	Complete	OZ038371.1	231668093	231667695	-	208.7	108
66929at7147	Complete	OZ038372.1	150428050	150428402	+	198.1	95
66948at7147	Complete	OZ038372.1	61196862	61196181	-	228.4	226
66956at7147	Complete	OZ038374.1	1864844	1863894	-	271.9	209
66984at7147	Complete	OZ038371.1	12458799	12567304	+	1281.4	709
66992at7147	Complete	OZ038373.1	59289310	59453698	+	4390.3	2235
66994at7147	Missing
66998at7147	Complete	OZ038372.1	46881339	46854609	-	1616.9	1011
66999at7147	Complete	OZ038375.1	114514121	114512698	-	628.2	384
67006at7147	Complete	OZ038375.1	17889857	17902626	+	2058.7	1163
67025at7147	Complete	OZ038371.1	226167832	226150201	-	1837.8	894
67026at7147	Complete	OZ038371.1	23607218	23603443	-	210.6	175
67045at7147	Complete	OZ038371.1	225743922	225742857	-	383.4	197
67052at7147	Complete	OZ038374.1	25545508	25546361	+	475.6	243
67093at7147	Complete	OZ038373.1	92441760	92420297	-	355.6	212
67112at7147	Complete	OZ038373.1	108697341	108530437	-	1598.0	809
67114at7147	Complete	OZ038375.1	27977597	27976921	-	352.9	193
67133at7147	Complete	OZ038372.1	1828015	1837782	+	1382.5	781
67170at7147	Complete	OZ038371.1	216908479	216907577	-	416.1	252
67176at7147	Complete	OZ038371.1	30566547	30565801	-	378.5	210
67195at7147	Complete	OZ038374.1	138263851	138246817	-	1518.2	718
67222at7147	Missing
67224at7147	Complete	OZ038372.1	202732	220493	+	431.4	220
67233at7147	Complete	OZ038372.1	111713074	111692668	-	703.4	406
67239at7147	Complete	OZ038372.1	54932702	54941940	+	634.7	481
67287at7147	Complete	OZ038372.1	1712132	1678601	-	889.9	457
67335at7147	Complete	OZ038371.1	209256472	209261230	+	595.5	326
67337at7147	Complete	OZ038371.1	2282312	2281053	-	458.3	278
67347at7147	Complete	OZ038371.1	209434148	209433214	-	225.7	188
67359at7147	Complete	OZ038373.1	11366478	11367125	+	402.4	195
67366at7147	Complete	OZ038373.1	150641516	150646993	+	323.5	151
67422at7147	Complete	OZ038371.1	19143055	19240990	+	297.3	163
